cand_id,cand_name,cand_name_last,party,office,state,incumbency,spend,impressions,ad_tone_attack,ad_tone_promote,ad_tone_contrast
ftm_223582,"RAUNER, BRUCE VINCENT & SANGUINETTI, EVELYN PACINO",RAUNER,R,Governor,IL,Incumbent,287508,18066608,0.41337131904371816,0.4183337673338389,0.12460087810202981
ftm_223590,"PRITZKER, JAY ROBERT (J B) & STRATTON, JULIANA W",PRITZKER,D,Governor,IL,Challenger,3842489,97795310,0.02099528108327954,0.8575866600666631,0.09797287014994388
ftm_223598,"RAOUL, KWAME",RAOUL,D,Other Statewide,IL,Open Seat,166572,7246472.5,0.05830785890893118,0.8397308094516063,0.11705657779807559
ftm_223601,"HAROLD, ERIKA",HAROLD,R,Other Statewide,IL,Open Seat,38521,4275971,0.030887865768232922,0.6007251036023712,0.2873604143973198
ftm_223603,"WHITE, JESSE",WHITE,D,Other Statewide,IL,Incumbent,7073.5,1768473.5,0.036719009540689226,0.899116164267019,0.05596281228657839
ftm_223604,"HELLAND, JASON",HELLAND,R,Other Statewide,IL,Challenger,2539.5,262489.5,0.1693355866290251,0.6619016978606548,0.15512500059912218
ftm_223606,"FRERICHS, MICHAEL W",FRERICHS,D,Other Statewide,IL,Incumbent,138425,9123175,0.08482902069132686,0.8731655497492141,0.06431462746729807
ftm_223618,"SALAZAR, JOSEPH ANTHONY (JOE)",SALAZAR,D,Other Statewide,CO,Open Seat,49.5,2999.5,0.017121724980231186,0.7759655311510176,0.17653268067353667
ftm_223619,"WEISER, PHILIP JACOB",WEISER,D,Other Statewide,CO,Open Seat,75271.5,4722821.5,0.01510178131681973,0.8813950960380641,0.09795373599774784
ftm_223622,"HILL, STEVEN CHANCELLOR (CHANCE)",HILL,R,Other Statewide,CO,Open Seat,1393.5,46993.5,0.017992712024209722,0.9223303090485089,0.05992957050301638
ftm_223626,"GRAY, THADDEUS",GRAY,R,Other Statewide,CT,Open Seat,77779,2446979,0.28542199601076873,0.46502170396253295,0.19481214035107414
ftm_223627,"GREENBERG, MARK D",GREENBERG,R,Other Statewide,CT,Open Seat,44105,2499855,0.019174085955367588,0.9042856443106296,0.0784983090638649
ftm_223632,"LEMBO, KEVIN P",LEMBO,D,Other Statewide,CT,Incumbent,70831,2500481,0.02347346477597372,0.7851107724490346,0.16914553290043702
ftm_223634,"MARKLEY, JOSEPH C (JOE)",MARKLEY,R,Governor,CT,Open Seat,53345.5,2460895.5,0.037339673970155356,0.7983744414978232,0.12830503557248182
ftm_223637,"MERRILL, DENISE",MERRILL,D,Other Statewide,CT,Incumbent,26363,1570463,0.025846815038597797,0.9030291166929405,0.08269973351544188
ftm_223638,"OBSITNIK, STEPHEN A (STEVE)",OBSITNIK,R,Governor,CT,Open Seat,23917,1221917,0.02400180666075888,0.9120646985679821,0.06614950804592075
ftm_223642,"STEMERMAN, DAVID I",STEMERMAN,R,Governor,CT,Open Seat,170685.5,6792935.5,0.03543200874664397,0.7073181492433355,0.2202016813530451
ftm_223729,"JONES, DAVE",JONES,D,Other Statewide,CA,Challenger,70623.5,3618423.5,0.025314569366023044,0.8633558289980156,0.1161022586403421
ftm_223730,"BECERRA, XAVIER",BECERRA,D,Other Statewide,CA,Incumbent,30398,2183948,0.02963748972341091,0.84567556346049,0.1198766964692819
ftm_223732,"EARLY, ERIC",EARLY,R,Other Statewide,CA,Challenger,16685,1830935,0.05176586889084592,0.8118459587180413,0.11556660049594482
ftm_223739,"EASTIN, DELAINE",EASTIN,D,Governor,CA,Open Seat,846.5,51996.5,0.026729827271083317,0.8614015185484365,0.09257785260422013
ftm_223742,"VILLARAIGOSA, ANTONIO",VILLARAIGOSA,D,Governor,CA,Open Seat,90893,7996393.5,0.021810731509251956,0.8659258385885775,0.11295817545965225
ftm_223743,"CHIANG, JOHN",CHIANG,D,Governor,CA,Open Seat,245886,3192986,0.019298100720508107,0.8570028408434771,0.12948318668131284
ftm_223744,"NEWSOM, GAVIN",NEWSOM,D,Governor,CA,Open Seat,264829.5,10930679.5,0.01671202402306942,0.8600546566042623,0.10721674829263196
ftm_223759,"COX, JOHN H",COX,R,Governor,CA,Open Seat,292135,21333935.5,0.015154662438546039,0.6914328410467884,0.2600141862964445
ftm_223767,"ALLEN, TRAVIS",ALLEN,R,Governor,CA,Open Seat,154882.5,11285182.5,0.030367122165500197,0.8431297273099229,0.11480959691662919
ftm_223769,"LARA, RICARDO",LARA,D,Other Statewide,CA,Open Seat,165738,4070988,0.04069647459696422,0.6970026842564931,0.20531733634347013
